Question,Option,Answer,Explanation
1,1,,"Astuce: Dans les pays européens, certains contenus venant de sites de partage de vidéos (comme YouTube, Vimeo, etc.) ne sont pas accessibles pour cause de violation des droits d'auteurs. Racontez votre vécu concernant ce genre de problème (en incluant le pays où vous vous situez et le(s) site(s) où vous avez eu le problème)."
58,1,,"Astuce : L'utilisation normale d'Internet incluant explicitement le partage, l'amélioration et le remixage des contenus, vous avez certainement été dans une situation où vous n'étiez pas sûr du comportement à adopter par rapport au droit d'auteur."
80,1,,"Astuce : Pourquoi pensez-vous que partage des informations et des connaissances en ligne est nécessaire au 21ème siècle ? Est-ce que la crainte de conséquences juridiques potentielles vous empêche de diffuser du contenu utile ? Expliquez vos expériences en la matière."
13,1,,"Astuce : La plupart du temps, lorsque vous achetez de la musique, des films, des livres, etc., en ligne, il y a sur ces fichiers une sorte de restriction (comme des DRM) qui interdisent le transfert ou la revente du contenu que vous avez acheté. Donnez des exemples de votre vécu avec ce problème."
64,1,,"Astuce : Certaines de ces restrictions portent atteinte au droit à la copie privée et à la reproduction dont vous devriez jouir en ligne. Si vous pensez qu'il faut expliciter le fait que ces droits doivent aussi s'appliquer en ligne, expliquez le ici."
21,1,,"Astuce : Certains services tels que Netflix, Spotify ou Hulu ne sont disponibles que dans certains pays européens car les entreprises doivent négocier les droits d'auteur au niveau national. Donnez des exemples qui vous sont arrivés. Pensez-vous que cela soit problématique ? Les directives concernant le droit d'auteur devraient-elles être standardisées au niveau européen ?"
23,1,,"Astuce : Certains usages qui nous semblent naturels peuvent être extrêmement complexes au regard des lois sur le droit d'auteur- par exemple pour les détournements/transformations comme les remixes, hommages... Si vous pensez qu'une limitation devrait être ajoutée aux lois sur le droit d'auteur concernant ces usages, vous pouvez faire des propositions et partager vos expériences."
72,1,,"Astuce : Quel type de contenu a été contrefait ? Comment pensez vous que cela puisse être indemnisé?"
74,1,,"Astuce : comment pensez-vous que cela devrait fonctionner ?"
22,1,,"Astuce : La plupart des limitations et exceptions fournies par les directives européennes sur le droit d'auteur sont facultatives pour les États-Membres. Devrait-il y avoir une régulation au niveau européen ? Quel est votre avis ? Expliquez en vous rapportant à des cas précis."
77,1,,"Astuce : Racontez votre vécu sur la façon dont la protection des intérêts des citoyens semble moins importante que l'application du droit d'auteur. Si possible, donnez des exemples."
11,2,,"Astuce : Les liens sont des éléments clés d'internet.   Est-ce que les gens devraient être tenus responsables pour la mise en relation avec du contenu protégé par le droit d'auteur ? Oui, toujours / seulement dans certains cas / Non, jamais ? Pourquoi ? (par exemple parce qu'il ne constitue pas un acte de communication au public - ou à un nouveau public, ou parce qu'il devrait être couvert par une exception au droit d'auteur)"
